start_ut,end_ut,PH,CL,TN,TK,CY,WI,HU,RN,SN,EQ,OT
2011-11-16T17:53:00,2011-11-16T23:20:00,0,0,0,0,1,0,0,1,0,0,0
2011-11-16T23:20:00,2011-11-17T00:05:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-17T00:05:00,2011-11-17T01:35:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-17T01:35:00,2011-11-17T03:05:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-17T03:05:00,2011-11-15T19:47:00,0,1,0,0,0,1,0,0,0,0,0
2011-11-15T19:47:00,2011-11-15T23:20:00,0,0,0,0,1,0,0,1,0,0,0
2011-11-15T23:20:00,2011-11-16T01:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-16T01:00:00,2011-11-16T01:03:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-16T01:03:00,2011-11-16T07:25:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-16T07:25:00,2011-11-17T20:32:00,0,1,0,0,0,1,0,0,0,0,0
2011-11-17T20:32:00,2011-11-18T00:05:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-18T00:05:00,2011-11-19T00:22:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-19T00:22:00,2011-11-19T00:51:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-19T00:51:00,2011-11-19T01:20:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-19T01:20:00,2011-11-19T06:09:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-19T06:09:00,2011-11-19T07:19:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-19T07:19:00,2011-11-19T23:30:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-19T23:30:00,2011-11-19T23:39:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-19T23:39:00,2011-11-20T00:52:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-20T00:52:00,2011-11-20T06:33:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-20T06:33:00,2011-11-20T08:16:00,0,1,0,0,0,1,0,0,0,0,0
2011-11-20T08:16:00,2011-11-20T23:22:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-20T23:22:00,2011-11-21T01:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-21T01:00:00,2011-11-21T02:00:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-21T02:00:00,2011-11-21T03:15:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-21T03:15:00,2011-11-21T05:03:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-21T05:03:00,2011-11-21T23:20:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-21T23:20:00,2011-11-22T00:38:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-22T00:38:00,2011-11-22T04:30:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-22T04:30:00,2011-11-22T05:40:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-22T05:40:00,2011-11-23T03:12:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-23T03:12:00,2011-11-23T03:19:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-23T03:19:00,2011-11-23T03:46:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-23T03:46:00,2011-11-23T07:42:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-23T07:42:00,2011-11-23T23:24:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-23T23:24:00,2011-11-24T02:11:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-24T02:11:00,2011-11-24T03:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-24T03:00:00,2011-11-24T05:00:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-24T05:00:00,2011-11-24T07:40:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-24T07:40:00,2011-11-25T00:16:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-25T00:16:00,2011-11-25T00:29:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-25T00:29:00,2011-11-25T04:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-25T04:45:00,2011-11-25T05:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-25T05:45:00,2011-11-25T23:18:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-25T23:18:00,2011-11-26T00:50:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-26T00:50:00,2011-11-26T08:52:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-26T08:52:00,2011-11-26T23:21:00,0,0,1,0,0,0,0,0,0,0,0
2011-11-26T23:21:00,2011-11-27T00:44:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-27T00:44:00,2011-11-27T00:50:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-27T00:50:00,2011-11-27T03:58:00,0,0,0,0,0,0,0,0,0,0,0
2011-11-27T03:58:00,2011-11-27T05:48:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-27T05:48:00,2011-11-27T08:25:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-27T08:25:00,2011-11-27T23:24:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-27T23:24:00,2011-11-28T00:51:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-28T00:51:00,2011-11-28T23:24:00,1,0,0,0,0,0,0,0,0,0,0
2011-11-28T23:24:00,2011-11-29T01:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-29T01:00:00,2011-11-29T23:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-29T23:30:00,2011-11-30T00:50:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-30T00:50:00,2011-11-30T23:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-11-30T23:30:00,2011-12-01T00:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-01T00:30:00,2011-12-01T23:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-01T23:30:00,2011-12-02T02:05:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-02T02:05:00,2011-12-02T23:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-02T23:30:00,2011-12-03T01:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-03T01:00:00,2011-12-03T03:30:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-03T03:30:00,2011-12-03T23:30:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-03T23:30:00,2011-12-04T00:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-04T00:30:00,2011-12-04T23:30:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-04T23:30:00,2011-12-05T00:10:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-05T00:10:00,2011-12-05T00:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-05T00:45:00,2011-12-05T23:30:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-05T23:30:00,2011-12-06T01:10:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-06T01:10:00,2011-12-06T23:35:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-06T23:35:00,2011-12-07T01:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-07T01:00:00,2011-12-07T04:17:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-07T04:17:00,2011-12-07T05:00:00,1,0,0,0,0,1,0,0,0,0,0
2011-12-07T05:00:00,2011-12-07T05:19:00,1,0,0,0,0,1,0,0,0,0,0
2011-12-07T05:19:00,2011-12-07T23:40:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-07T23:40:00,2011-12-08T04:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-08T04:00:00,2011-12-08T23:45:00,0,1,0,0,0,1,0,0,0,0,0
2011-12-08T23:45:00,2011-12-09T05:46:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-09T05:46:00,2011-12-09T23:32:00,0,1,0,0,0,1,0,0,0,0,0
2011-12-09T23:32:00,2011-12-10T00:20:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-10T00:20:00,2011-12-10T00:50:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-10T00:50:00,2011-12-10T06:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-10T06:00:00,2011-12-10T23:40:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-10T23:40:00,2011-12-11T01:04:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-11T01:04:00,2011-12-11T02:10:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-11T02:10:00,2011-12-11T03:40:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-11T03:40:00,2011-12-11T05:05:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-11T05:05:00,2011-12-11T06:20:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-11T06:20:00,2011-12-11T07:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-11T07:00:00,2011-12-11T08:00:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-11T08:00:00,2011-12-11T23:25:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-11T23:25:00,2011-12-12T03:10:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-12T03:10:00,2011-12-12T07:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-12T07:30:00,2011-12-12T23:30:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-12T23:30:00,2011-12-12T23:45:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-12T23:45:00,2011-12-13T01:35:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-13T01:35:00,2011-12-13T02:30:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-13T02:30:00,2011-12-13T03:35:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-13T03:35:00,2011-12-13T07:55:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-13T07:55:00,2011-12-14T23:40:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-14T23:40:00,2011-12-15T00:45:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-15T00:45:00,2011-12-17T01:07:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-17T01:07:00,2011-12-17T07:22:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-17T07:22:00,2011-12-18T07:19:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-18T07:19:00,2011-12-19T00:54:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-19T00:54:00,2011-12-19T06:45:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-19T06:45:00,2011-12-19T06:45:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-19T06:45:00,2011-12-19T07:24:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-19T07:24:00,2011-12-20T00:55:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-20T00:55:00,2011-12-20T00:55:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-20T00:55:00,2011-12-20T06:39:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-20T06:39:00,2011-12-20T23:43:00,0,0,0,0,0,0,0,0,0,0,0
2011-12-20T23:43:00,2011-12-21T01:46:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-21T01:46:00,2011-12-21T03:53:00,0,0,1,0,0,1,0,0,0,0,0
2011-12-21T03:53:00,2011-12-21T23:59:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-21T23:59:00,2011-12-22T03:36:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-22T03:36:00,2011-12-22T04:02:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-22T04:02:00,2011-12-22T23:39:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-22T23:39:00,2011-12-23T01:34:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-23T01:34:00,2011-12-23T05:02:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-23T05:02:00,2011-12-23T07:08:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-23T07:08:00,2011-12-23T23:55:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-23T23:55:00,2011-12-24T01:31:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-24T01:31:00,2011-12-24T05:16:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-24T05:16:00,2011-12-24T23:42:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-24T23:42:00,2011-12-25T01:29:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-25T01:29:00,2011-12-25T03:22:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-25T03:22:00,2011-12-25T04:04:00,0,0,1,1,0,0,0,0,0,0,0
2011-12-25T04:04:00,2011-12-25T06:59:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-25T06:59:00,2011-12-25T23:36:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-25T23:36:00,2011-12-26T01:16:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T01:16:00,2011-12-26T03:39:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T03:39:00,2011-12-26T05:06:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T05:06:00,2011-12-26T07:12:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T07:12:00,2011-12-26T23:39:00,0,0,0,0,1,0,0,0,0,0,0
2011-12-26T23:39:00,2011-12-27T01:10:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-27T01:10:00,2011-12-27T03:00:00,0,1,0,0,0,1,0,0,0,0,0
2011-12-27T03:00:00,2011-12-27T03:47:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-27T03:47:00,2011-12-27T05:47:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-27T05:47:00,2011-12-27T23:40:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-27T23:40:00,2011-12-28T02:00:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T02:00:00,2011-12-28T04:40:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T04:40:00,2011-12-28T06:30:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T06:30:00,2011-12-28T23:45:00,0,0,0,1,0,0,0,0,0,0,0
2011-12-28T23:45:00,2011-12-29T01:20:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-29T01:20:00,2011-12-29T04:10:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-29T04:10:00,2011-12-29T23:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-29T23:45:00,2011-12-30T01:20:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-30T01:20:00,2011-12-30T05:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-30T05:00:00,2011-12-30T23:45:00,0,0,1,0,0,0,0,0,0,0,0
2011-12-30T23:45:00,2011-12-31T02:00:00,0,1,0,0,0,0,0,0,0,0,0
2011-12-31T02:00:00,2011-12-31T23:45:00,1,0,0,0,0,0,0,0,0,0,0
2011-12-31T23:45:00,2012-01-01T00:30:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-01T00:30:00,2012-01-01T04:10:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-01T04:10:00,2012-01-01T23:50:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-01T23:50:00,2012-01-02T00:41:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-02T00:41:00,2012-01-02T04:45:00,0,0,0,0,0,0,0,0,0,0,0
2012-01-02T04:45:00,2012-01-02T06:00:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-02T06:00:00,2012-01-02T06:54:00,0,1,0,0,0,0,0,0,0,0,0
2012-01-02T06:54:00,2012-01-02T08:12:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-02T08:12:00,2012-01-02T08:18:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-02T08:18:00,2012-01-02T23:45:00,0,0,0,1,0,0,0,0,0,0,0
2012-01-02T23:45:00,2012-01-03T00:40:00,0,0,0,1,0,0,1,0,0,0,0
2012-01-03T00:40:00,2012-01-03T04:34:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-03T04:34:00,2012-01-03T07:10:00,0,0,0,1,0,0,1,0,0,0,0
2012-01-03T07:10:00,2012-01-03T23:30:00,0,0,1,0,0,0,0,0,0,0,0
2012-01-03T23:30:00,2012-01-04T02:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T02:00:00,2012-01-04T06:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T06:00:00,2012-01-04T07:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T07:00:00,2012-01-04T23:30:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-04T23:30:00,2012-01-05T01:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-05T01:00:00,2012-01-05T05:00:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-05T05:00:00,2012-01-05T07:30:00,0,0,0,0,1,0,1,0,0,0,0
2012-01-05T07:30:00,2012-01-05T08:49:00,0,0,0,1,0,0,1,0,0,0,0
2012-01-05T08:49:00,2012-01-05T23:30:00,0,0,1,0,0,0,1,0,0,0,0
2012-01-05T23:30:00,2012-01-06T01:00:00,0,1,0,0,0,0,1,0,0,0,0
2012-01-06T01:00:00,2012-01-06T05:50:00,0,1,0,0,0,0,1,0,0,0,0
2012-01-06T05:50:00,2012-01-06T07:25:00,0,0,1,0,0,0,0,0,0,0,0
