Time,UT,Conditions,Comment
17:53,2011-11-16 17:53:00,CY				RN,- Thorolf Kveldulfson
23:20,2011-11-16 23:20:00,TN,Thin clouds coming from SW to NE - Paranal Observatory
00:05,2011-11-17 00:05:00,TN,Thin cirrus passing over - Paranal Observatory
01:35,2011-11-17 01:35:00,CL,clouds at 20 deg to the SW - Paranal Observatory
03:05,2011-11-17 03:05:00,CL				WI,wind up to 13 m/s - Paranal Observatory
19:47,2011-11-15 19:47:00,CY				RN,heavy raindvgdf g df vg - Thorolf Kveldulfson
23:20,2011-11-15 23:20:00,CL,- Thomas Szeifert
01:00,2011-11-16 01:00:00,CL,- Thomas Szeifert
01:03,2011-11-16 01:03:00,PH,according to NACO zero points - Thomas Szeifert
07:25,2011-11-16 07:25:00,CL				WI,- Thomas Szeifert
20:32,2011-11-17 20:32:00,CL,Thick clouds to the north below 20 degs - Thorolf Kveldulfson
00:05,2011-11-18 00:05:00,PH,according to FORS - Thorolf Kveldulfson
00:22,2011-11-19 00:22:00,CL,Sky Clear - Claudia Reyes
00:51,2011-11-19 00:51:00,PH,According to FORS Zp - Claudia Reyes
01:20,2011-11-19 01:20:00,PH,According to Omegacam - Claudia Reyes
06:09,2011-11-19 06:09:00,PH,According to FORS - Claudia Reyes
07:19,2011-11-19 07:19:00,TN,Thin cirrus NE - Claudia Reyes
23:30,2011-11-19 23:30:00,TN,Presence of thin cirrus W and NE - Carlos La Fuente
23:39,2011-11-19 23:39:00,TN,- Carlos La Fuente
00:52,2011-11-20 00:52:00,CL,- Claudia Reyes
06:33,2011-11-20 06:33:00,WI,Pointing restriction NNE - Claudia Reyes
08:16,2011-11-20 08:16:00,CL,Wind down to 9 m/s - Claudia Reyes
23:22,2011-11-20 23:22:00,CL,- S. Mieske
01:00,2011-11-21 01:00:00,PH,According to FORS - S. Mieske
02:00,2011-11-21 02:00:00,PH,According to OMEGACAM - S. Mieske
03:15,2011-11-21 03:15:00,PH,According to HAWKI - S. Mieske
05:03,2011-11-21 05:03:00,PH,According to OMEGACAM - S. Mieske
23:20,2011-11-21 23:20:00,CL,Sky clear - S. Mieske
00:38,2011-11-22 00:38:00,PH,According to FORS and OMEGACAM ZPs. - S. Mieske
04:30,2011-11-22 04:30:00,PH,According to Omegacam - Claudia Reyes
05:40,2011-11-22 05:40:00,PH,According to FORS - Claudia Reyes
03:12,2011-11-23 03:12:00,PH,00:15 photometric according to FORS - Thorolf Kveldulfson
03:19,2011-11-23 03:19:00,PH,00:30 Photometric according to OMEGACAM - Thorolf Kveldulfson
03:46,2011-11-23 03:46:00,CL,03:45 clear according to NACO and OMEGACAM - Thorolf Kveldulfson
07:42,2011-11-23 07:42:00,CL,Clear according OMEGACAM - Thorolf Kveldulfson
23:24,2011-11-23 23:24:00,TN,- Thorolf Kveldulfson
02:11,2011-11-24 02:11:00,CL,- Thorolf Kveldulfson
03:00,2011-11-24 03:00:00,PH,According to FORS - Thorolf Kveldulfson
05:00,2011-11-24 05:00:00,CL,According to OmegaCAM and HAWKI - Thorolf Kveldulfson
07:40,2011-11-24 07:40:00,CL,According to HAWKI - Thorolf Kveldulfson
00:16,2011-11-25 00:16:00,PH,According to VIMOS & FORS - Julio Navarrete
00:29,2011-11-25 00:29:00,PH,OmegaCAM - Julio Navarrete
04:45,2011-11-25 04:45:00,PH,According to OMEGACAM - S. Mieske
05:45,2011-11-25 05:45:00,PH,According to HAWK I - S. Mieske
23:18,2011-11-25 23:18:00,TN,- Marcelo López
00:50,2011-11-26 00:50:00,CL,- Marcelo López
08:52,2011-11-26 08:52:00,TN,Thin Clouds South West of the field - Marcelo López
23:21,2011-11-26 23:21:00,CL,- Marcelo López
00:44,2011-11-27 00:44:00,PH,According to OMEGACAM & VIMOS Zp. - Marcelo López
00:50,2011-11-27 00:50:00,,- Marcelo López
03:58,2011-11-27 03:58:00,PH,According to HAWKI Zp. - Marcelo López
05:48,2011-11-27 05:48:00,PH,According to OMEGACAM - Marcelo López
08:25,2011-11-27 08:25:00,PH,According to VIMOS Zp. - Marcelo López
23:24,2011-11-27 23:24:00,CL,- Marcelo López
00:51,2011-11-28 00:51:00,PH,According to OMEGACAM & VIMOS Zp - Marcelo López
23:24,2011-11-28 23:24:00,CL,- Marcelo López
01:00,2011-11-29 01:00:00,CL,According to VIMOS ZP - Marcelo López
23:30,2011-11-29 23:30:00,CL,- Susana Cerdah
00:50,2011-11-30 00:50:00,CL,Clear according to VIMOS ZP - Susana Cerdah
23:30,2011-11-30 23:30:00,CL,- Susana Cerdah
